م,الصنف,كمية,رويال الكيم / سنتر اللوتس التجاري,سعر التكلفة,رويال الكيم اونلاين,سعر1 كارت,رويال توزيع / عربيه,سعر2 كارت,ريال الكيم / اداره مخازن,سعر3 كارت,ROYAL ELCHIM . HURGADA,سعر4 كارت,ROYAL ELCHIM MARWA,تاريخ اخر حركة,الفرق,بيع,شراء,مرتجع بيع,مرتجع شراء,صادر,وارد,تالف,تسوية,قيمة بيع,قيمة شراء,قيمة مرتجع بيع,قيمة مرتجع شراء,قيمة تالف,الباركود,الوصف,حجز,غير مؤكد,ج تكلفة,نوع الصنف,اسم الصنف,الوصف 4,الوصف 5,ترتيب القائمة,سعر1 %,إجمالي الكمية,حد الطلب رويال الكيم / سنتر اللوتس التجاري,التصنيف الرئيسي,اسم القائمة,نواقص رويال الكيم / سنتر اللوتس التجاري,اخر تسوية رويال الكيم / سنتر اللوتس التجاري,صورة الصنف,اخر سعر شراء,سعر عرض,تاريخ النواقص,خصم بيع,خصم شراء,سعر1 = رويال الكيم / سنتر اللوتس التجاري,سعر2 = رويال الكيم / سنتر اللوتس التجاري,سعر3 = رويال الكيم / سنتر اللوتس التجاري,سعر4 = رويال الكيم / سنتر اللوتس التجاري,مطلوب حد الطلب,تاريخ اخر بيع,أونلاين,كمية أونلاين,تاريخ خصم أونلاين,سعر أونلاين,#هاشتاج,كلمات البحث,مورد اخر,ملاحظات,أول تاريخ,اخر تاريخ,تحت الطلب,نسبة الخصم**,اخر سعر تكلفة,تاريخ اخر شراء,*اسم الصنف Online,سعر تكلفة مخصص,إيقاف الإدراج,قيمة سعر1,قيمة سعر2,قيمة سعر3,قيمة سعر4,عدد الصور
4609,خردوات كلبس ستانلس الوان,0,0,0,0,6,0,5,0,4٫5,0,4,0,,,,,,,,,,,,,,,,009163,,0,,0,خردوات,كلبس ستانلس الوان,,,,,0,0,,1,نواقص,99999,,0,,2021/07/14,,,,,,,,,,-1,,,,,,,,,0,,0,,,0,لا,6,5,4٫5,4,0
4610,خردوات كلبس ستانلس كيس,0٫4166,0,18,0٫4166,30,0,27,0,24,0,20,0,2023/11/18,,,,,,,,,,,,,,,009157,,0,,7٫4988,خردوات,كلبس ستانلس كيس,,,,66٫67,0٫4166,0,,1,نواقص,99999,,18,,2022/09/06,,,,,,,,2022/09/06,,-1,,,,,رويال/ادره المخازن,,,,0,40,18,2022/02/02,,18,لا,30,27,24,20,0
4611,خردوات كلنج باد غسول,3,0,10,1,25,0,22,0,18,0,15,2,2025/10/10,,,,,,,,,,,,,,,8806199476204,,0,,30,خردوات,كلنج باد غسول,,,,150,3,0,,1,نواقص,99999,,10,,2025/02/04,,,,,,,,2024/07/30,,-1,,,,,ميخائيل نجع حمادي,,,,0,60,10,2023/05/08,,10,لا,25,22,18,15,0
4612,خردوات كلينج باد,5,0,5٫08,5,15,0,12,0,10,0,8,0,2024/12/17,,,,,,,,,,,,,,,009203,,0,,25٫4165,خردوات,كلينج باد,,,,195٫08,5,0,,1,نواقص,99999,,6,,2024/10/15,,,,,,,,2024/12/17,,-1,,,,,ميخائيل نجع حمادي,,,,0,66٫11,6,2023/05/08,,5٫08,لا,15,12,10,8,0
4613,خردوات كوين ماكينه حريمي 5ق,1,0,47,1,65,0,60,0,55,0,50,0,2025/12/27,,,,,,,,,,,,,,,6222001564525,5ق,0,,47,خردوات,كوين ماكينه حريمي,,,,38٫3,1,0,,1,---,99999,,47,,,,,,,,,,2024/09/15,,-1,,,,,اسحق انور,,,,0,27٫69,47,2024/04/15,,47,لا,65,60,55,50,0
4614,خردوات كيرلي علبه,2,0,24,1,50,0,45,0,35,1,27,0,2026/01/07,,,,,,,,,,,,,,,009049,,0,,48,خردوات,كيرلي علبه,,,,108٫33,2,0,خردوات,1,نواقص,99999,\us\134\pid\140\f132547453609517451042.png,24,,2021/07/14,,,,,,,,,,-2,2021/04/01,10,#TOOLS ,"بكر,كيرلي,سوسيه,شعر,مجعد,لورو,MAGIC,LEVERAG,CURLY",رصيد اول المده,,,,0,52,24,2021/08/29,MAGIC LEVERAG,24,لا,50,45,35,27,4
4615,خردوات كيس اظافر علي كارت,46,0,2٫01,46,5,0,3٫5,0,3,0,2٫5,0,2025/12/27,,,,,,,,,,,,,,,009120,,0,,92٫5796,خردوات,كيس اظافر علي كارت,,,,148٫43,46,0,خردوات,1,نواقص,99999,\us\134\pid\248\f132589948000209718076.png,2,,2023/10/13,,,,,,,,2023/04/08,,-28,2021/04/01,,#TOOLS ,"العنايه,بالجسم,كيس,اظافر,علي,كارت",رويال/ادره المخازن,,,,0,59٫75,2,2022/02/02,كيس اظافر علي كارت,2٫01,لا,5,3٫5,3,2٫5,1
4616,خردوات كيس تدريج ابيض,36,20,5,5,10,0,9,6,8,3,7٫5,2,2026/01/09,,,,,,,,,,,,,,,009421,,0,,180,خردوات,كيس تدريج ابيض,,,,100,36,0,,1,---,99999,,5,,2025/12/24,,,,,,,,2024/04/24,,-1,,,,,معرض الوكيل للتجاره,,,,0,50,5,2023/12/28,,5,لا,10,9,8,7٫5,0
4617,خردوات كيس تدريج اسود,45,22,5,3,10,1,9,6,8,8,7,5,2026/03/09,,,,,,,,,,,,,,,009420,,0,,225,خردوات,كيس تدريج اسود,,,,100,45,0,,1,---,99999,,5,,2025/12/24,,,,,,,,2026/03/09,,-1,,,,,معرض الوكيل للتجاره,,,,0,50,5,2023/12/28,,5,لا,10,9,8,7,0
4618,خردوات لاصق اظافر HUDA BEAUTY,16,0,10٫61,13,25,0,20,2,18,0,15,1,2025/11/24,,,,,,,,,,,,,,,6932654236310,HUDA BEAUTY,0,,169٫7728,خردوات,لاصق اظافر,,,,135٫61,16,0,,1,نواقص,99999,,8٫5,,2025/02/04,,,,,,,,2025/11/24,,-1,,,,,ميخائيل نجع حمادي,,,,0,57٫56,8٫5,2024/11/05,,10٫61,لا,25,20,18,15,0
4619,خردوات لزق اظافر Brush On,11,0,8٫3,2,25,0,22,1,20,0,18,8,2025/12/27,,,,,,,,,,,,,,,6991211321609   6998547853651,,0,,91٫3,خردوات,لزق اظافر Brush On,,,,201٫2,11,0,,1,نواقص,99999,,7٫5,,2025/11/06,,,,,,,,2025/11/06,,-1,,,,,ميخائيل نجع حمادي,,,,0,66٫8,7٫5,2025/06/10,,8٫3,لا,25,22,20,18,0
